name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
anantapur,2020-01-01,31.7,21.7,25.9,32.9,21.7,26.4,19.5,69.3,0.6,100,12.5,rain,0,0,33.5,17.6,107.9,1014.4,50.6,5.5,158.5,13.7,6,,2020-01-01T06:44:45,2020-01-01T18:01:06,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43237099999"
anantapur,2020-01-02,31.9,21.4,26.4,34,21.4,27,20.1,69.9,0.1,100,4.17,rain,0,0,28.1,14.8,106.7,1015.2,57.9,6.3,136.5,11.8,5,,2020-01-02T06:45:07,2020-01-02T18:01:40,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,43237099999"
anantapur,2020-01-03,33.4,22.1,27,35.8,22.1,28,20.4,69,0.5,100,20.83,rain,0,0,23.4,13.7,124.5,1013.6,46.3,6.3,174.8,15.1,7,,2020-01-03T06:45:29,2020-01-03T18:02:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43237099999"
anantapur,2020-01-04,33.3,23.1,27.7,33.6,23.1,27.9,19,63.3,0,0,0,,0,0,25.2,11.2,71.7,1011.5,33.9,6.3,201.7,17.5,8,,2020-01-04T06:45:50,2020-01-04T18:02:50,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2020-01-05,31.1,22.7,25.4,36.4,22.7,26.2,21.6,79.7,1.9,100,41.67,rain,0,0,34.6,16.2,76.1,1012.5,77.1,7,125.1,10.8,5,,2020-01-05T06:46:09,2020-01-05T18:03:25,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43237099999"
anantapur,2020-01-06,30.4,22.2,25,33.6,22.2,25.5,21,79.3,1.5,100,41.67,rain,0,0,39.2,18.7,91.5,1014.8,74.1,6.3,138.9,12,6,,2020-01-06T06:46:28,2020-01-06T18:04:00,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43237099999"
anantapur,2020-01-07,29.4,22.3,25.2,30.9,22.3,25.8,20.8,77.7,0.2,100,4.17,rain,0,0,33.5,16.2,98.4,1014.6,66,6.3,132.1,11.3,5,,2020-01-07T06:46:46,2020-01-07T18:04:35,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43237099999"
anantapur,2020-01-08,32.9,20.9,25.7,34.5,20.9,26.1,19.4,70.3,0,0,0,,0,0,26.3,14.4,105.2,1013.4,50.6,6.3,174.5,15.1,6,,2020-01-08T06:47:02,2020-01-08T18:05:10,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2020-01-09,33.2,20.2,26.1,34.3,20.2,26.3,18.1,64.8,0,0,0,,0,0,26.3,14,106,1012.7,82.7,6.3,220.1,19,8,,2020-01-09T06:47:18,2020-01-09T18:05:46,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2020-01-10,30,19.9,25,29.9,19.9,25.2,18,66.9,0,0,0,,0,0,37.8,17.6,87.7,1013.4,82,6.3,181.9,15.7,7,,2020-01-10T06:47:33,2020-01-10T18:06:21,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2020-01-11,29.7,19.1,24.3,29.4,19.1,24.3,17.5,68.4,0,0,0,,0,0,33.5,15.5,92,1015,55.2,5.7,176.3,15.3,6,,2020-01-11T06:47:47,2020-01-11T18:06:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2020-01-12,30.5,19.1,24.5,29.9,19.1,24.5,17.2,67,0,0,0,,0,0,31,13.7,90.3,1014.1,42.9,6.3,194.2,16.8,7,,2020-01-12T06:47:59,2020-01-12T18:07:31,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2020-01-13,31.1,18.7,24.7,30.4,18.7,24.5,15.4,60.8,0,0,0,,0,0,22.3,12.2,99.6,1012.2,11.5,6.6,238.1,20.4,8,,2020-01-13T06:48:11,2020-01-13T18:08:06,0.59,Clear,Clear conditions throughout the day.,clear-day,"remote,43237099999"
anantapur,2020-01-14,31.9,17.9,24.8,31.2,17.9,24.5,13.2,52.5,0,0,0,,0,0,28.4,16.6,100.9,1012,18.2,6.6,243.5,21.2,9,,2020-01-14T06:48:21,2020-01-14T18:08:41,0.62,Clear,Clear conditions throughout the day.,clear-day,"remote,43237099999"
anantapur,2020-01-15,31.1,17.9,24.2,29.4,17.9,23.9,14.2,57.9,0,0,0,,0,0,32.8,16.9,101.2,1012.7,0,6.3,247.5,21.2,9,,2020-01-15T06:48:31,2020-01-15T18:09:15,0.66,Clear,Clear conditions throughout the day.,clear-day,"remote,43237099999"
anantapur,2020-01-16,31,17.1,24.4,30.2,17.1,24.2,15.1,60,0,0,0,,0,0,29.2,15.8,105.2,1012.5,5.7,6.3,241.8,21,8,,2020-01-16T06:48:39,2020-01-16T18:09:50,0.69,Clear,Clear conditions throughout the day.,clear-day,"remote,43237099999"
anantapur,2020-01-17,32.4,19.8,25.8,32.1,19.8,25.7,15.2,54.4,0,0,0,,0,0,32,14.8,105.4,1012.7,21.6,7,237.3,20.6,8,,2020-01-17T06:48:46,2020-01-17T18:10:24,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2020-01-18,31.5,19.2,25.9,32.5,19.2,26.3,18.7,66.3,0,0,0,,0,0,37.4,19.8,106.6,1012.5,44.9,5.5,201.4,17.4,8,,2020-01-18T06:48:52,2020-01-18T18:10:58,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
